advertising_id,recency,frequency,monetary
eeabfe48-873e-4f96-85fd-9fe4262e38b8,1,48,
e74d45cb-393d-4097-b382-5ceaa004127c,1,43,
200b02ce-4890-44e2-928d-57e61f5070df,1,32,
220b179a-9f1c-4d54-8552-7c713ef5f9bc,1,32,
a3f353a5-4297-46a0-b8b9-90945de4c0f0,1,38,
ffbf0f2c-a564-4a7c-94f5-e66d82487fb7,1,23,
68f77456-a1d2-48a2-9795-920e3ef5b027,1,83,
765dd24a-acec-4642-baf5-eb0e38d1f69a,1,43,
070fafe9-588b-4b81-a8f7-21c37df0101e,1,24,
047b60f2-ea27-48ae-8a9b-6d9cb1bbf249,1,62,
c6cf5075-ded4-47f6-9fe4-bb1d1f85e00c,1,58,
3b52e0fe-30b5-4c03-b87c-d4239d293e22,1,52,
e08cf7a4-d22f-4eec-9fe4-8c4cdeecefb9,1,66,
723c3d2a-a861-46d3-a897-ee21bec3616c,1,39,
6118c3f7-8976-4e28-a721-a0726e36bb66,1,96,
a1efd99b-da98-4b99-b9af-a6139240f913,1,70,0.97914
003ed9c2-4915-48f2-8ebe-ddf9fcecb13a,1,88,
1f3d212e-c0c4-463e-8653-0c11ab845be0,1,52,
b8cae408-29f4-47e0-ba4a-4b8519f364cb,1,51,
de3cfac6-56a9-4980-8f12-f15f4f5058e5,1,50,
324f818a-069a-4538-ba63-454c2a15e028,1,38,
79e2a3ac-9171-47f4-aecd-889f06078c26,1,45,
1f627fd7-a210-437f-b167-f3602109faaf,1,70,
c300637a-3f9a-4631-a10e-4ca404d63070,1,43,
2e53d552-76ea-43e7-8830-b202fbc900e0,1,33,
b89031a8-a91b-407a-9c26-d4cfb2fc2bda,1,33,
edf88bb0-7c5e-45ca-9d8f-70e878d2fcb8,1,30,
4b317126-da80-4487-8893-b3dfbf246275,1,62,
e153ce23-b8e4-49c1-bd9b-b1f432475c81,1,72,
5494dcc1-94c4-4020-bf8b-537d18631276,1,35,
b0ab3874-559e-48da-b22d-ececebbd10d8,1,34,
1ad56d55-bef2-4afb-8bdc-aaa12afd8aea,1,45,
ccbd4929-1d55-4f3d-8f79-db0c455ac5b7,1,29,
a39753b9-3af2-45b7-aa09-3717a4369173,1,32,
895c1669-e630-4299-9d9c-253711ec24e9,1,23,
f1be2020-6e05-4c09-9a02-d40dfd0e8916,1,50,
fef25395-cc03-497e-9aad-5e76dcbde16c,1,39,
03e9e3e9-0a8a-40dd-8670-dec7f0719ba9,1,32,
990c90c6-2141-404e-bef9-5afe39474a00,1,29,
76e63303-8588-4b99-80cb-5623badab294,1,23,
bdf85938-0dbf-4a2e-b242-0da5ebcee827,1,81,
0efa2492-b5bb-4b14-9915-80ebf53f6efd,1,34,
c069c3d9-f0ab-4632-a830-9c5d0a99bb91,1,26,
9691801e-5397-4ad4-b77e-6f67af968b1a,1,36,
2058be36-41f7-4f1f-bef6-7e1fc34753ca,1,44,
a889ee06-fd28-47ae-bc19-da299bb81b5c,1,28,
cccfa903-1f20-469c-ad60-b3305e598f38,1,28,
2de52280-a52b-43fe-9992-7c7d0fab4813,1,34,
600743dd-cb19-4471-824a-d75876ead017,1,34,
442f943f-e9a7-4aa3-95ec-1d5f5ee36835,1,62,
e9b35bb0-1a36-4835-9842-a270b6e13328,1,43,
69b14301-7813-46de-8450-dad102e62851,1,33,
7d99fa17-bed8-4a6d-b834-ab7b9ad33d9a,1,67,
5d641b7f-8903-4ed7-b01c-54a02e07509b,1,45,
53309e95-3efa-43ff-bfd8-b929a66c2d6d,1,40,
7de1358d-b051-4501-9121-cfc950d91a64,1,41,
d0e09516-98f0-457f-a92e-43f8797cea6a,1,56,
b1c34ea1-02ff-498c-a97c-d58f82c7fc12,1,32,
d6cb2f03-3060-4a2f-a8e9-b3b8436fc9dd,1,44,
d16522e3-4851-4ebd-aa30-b56398285a97,1,26,
b12cacaa-8c47-4bb7-8d96-ff47d55e4dd4,1,33,
c4e57f7f-0a23-4d2f-a054-4666a686ff02,1,42,
2fa856c4-c059-4240-b80b-f3045ee2c7db,1,39,
87b8463f-3640-48d6-8304-2be0ab1b7f08,1,45,
9e538a33-faad-41fb-9f5a-b42a9c690cb9,1,23,
c6ab5429-bc8c-4e7c-9f3e-fc39af326b52,1,76,
4bb7f32c-606f-4216-8ea0-c4f514086d72,1,28,
8e5a5f90-0abb-4c35-a391-294726df9499,1,23,
a764b7d6-8c95-4d0b-b094-10156be852f5,1,26,0.978619
d1e90719-ab6b-465c-9594-59e48fec943b,1,28,
c74fad27-b84e-4fed-9a38-dc7305ab72b3,1,34,
ca6c7476-851b-4f7f-8b7a-ae3c83fbea4e,1,27,
8b2b3a4f-b3a4-4468-9525-e0c07df37501,1,26,
4205bb5c-57ad-4869-a301-b9a39e665e31,1,26,
b0b14b8f-6fe6-4a12-b22b-0978e4800c5c,1,128,
59f54ec1-7252-4376-a12c-93f8b842c905,1,122,
6ba2db78-70cd-4231-91df-e7a5ed6ba1b6,1,31,
af2da671-eff8-49bf-92d0-3744e0d9f3ae,1,96,
9eb605c9-5126-4c21-b5f0-5f8e0284450d,1,71,
82903659-b25e-479f-9a9f-47f8f2ee5c65,1,285,
5a4e23f1-b63b-48c8-9e96-476f9dbd4209,1,136,
42a0fe8a-950a-4add-bb22-916c5675fade,1,37,
cf9e704c-d879-47b7-b697-104731a7440a,1,503,
447863b2-b44c-45ba-b4bc-2b09e90a715d,1,168,
7cf247d7-3561-4cbe-9130-e0016c515d93,1,135,
e88e9779-bcb4-423b-b3de-12aaf7fcce09,1,73,
9ede9778-dfc4-432e-85ea-54d3c38aedd2,1,258,
d8ce77bd-047d-4d9f-8271-61b0721a2456,1,451,0.922031
73ba1332-70ab-4c58-aedd-df7b47054ae6,1,316,
c33d5f53-df5d-41b4-801f-ec18769f7c59,1,189,
4adb693d-fd02-4a1a-99ff-1b719909c4a6,1,35,
40511aa6-6811-467d-83f0-cfd0e253ff35,1,38,
e3972a03-31d7-4868-b715-af1b159dc89a,1,29,
d8578486-9c01-420f-9aba-c7203ac8b185,1,106,
40760358-0359-4fac-b40d-fdb5120c29f5,1,24,
f1655b88-dcb6-4f13-8a1d-2b3f3c29586f,1,27,
15a6a23f-2e51-44b5-b842-655afa9455c6,1,139,
c543e517-fd8b-4da7-8d9a-e3b46fea3396,1,43,
42d81caf-0e80-4484-9ecc-f2cecb809ec0,1,61,
15256ce8-ef38-4a08-997f-2b6992d9339b,1,33,
eababdcd-12fa-430e-b21d-df36436b8670,1,59,
42b603d0-54ee-4052-be34-add0802cba33,1,37,
bbabd9ea-d318-49a6-ba4e-aded039f2d21,1,49,
3234cdd5-f022-4e64-a440-38ab6b57ae8f,1,51,
