project,country,install_date,user_count,buyer,dau,rev,LTV1,LTV3,LTV7
SK,France,2020-05-24,265,3,518,41.925223999999993,41.925223999999993,41.925223999999993,41.925223999999993
SK,Russia,2020-03-21,45,0,63,0.0,0.0,0.0,0.0
SK,Vietnam,2020-05-20,522,0,965,0.0,0.0,0.0,0.0
SK,Thailand,2020-05-13,6,0,10,0.0,0.0,0.0,0.0
SK,Vietnam,2020-03-18,65,1,128,19.806312,0.0,0.0,0.0
SK,Indonesia,2020-05-19,8,0,71,0.0,0.0,0.0,0.0
SK,Brazil,2020-04-22,321,0,1150,0.0,0.0,0.0,0.0
SK,Russia,2020-05-15,20,0,37,0.0,0.0,0.0,0.0
SK,Brazil,2020-05-12,1012,1,2395,4.161599,4.161599,4.161599,4.161599
SK,Thailand,2020-03-22,63,0,86,0.0,0.0,0.0,0.0
SK,Philippines,2020-03-22,173,0,321,0.0,0.0,0.0,0.0
SK,Vietnam,2020-04-18,460,0,970,0.0,0.0,0.0,0.0
SK,Philippines,2020-03-30,5,0,65,0.0,0.0,0.0,0.0
SK,Vietnam,2020-04-22,271,0,725,0.0,0.0,0.0,0.0
SK,Vietnam,2020-04-25,188,0,544,0.0,0.0,0.0,0.0
SK,Brazil,2020-03-19,259,0,442,0.0,0.0,0.0,0.0
SK,Vietnam,2020-04-27,264,0,764,0.0,0.0,0.0,0.0
SK,Brazil,2020-04-11,1078,1,2286,4.451404,0.0,0.0,0.0
SK,Russia,2020-05-21,14,0,22,0.0,0.0,0.0,0.0
SK,Indonesia,2020-04-05,177,0,268,0.0,0.0,0.0,0.0
SK,Philippines,2020-03-21,163,0,291,0.0,0.0,0.0,0.0
SK,Philippines,2020-04-19,123,0,298,0.0,0.0,0.0,0.0
SK,Brazil,2020-04-17,617,0,1623,0.0,0.0,0.0,0.0
SK,Spain,2020-05-22,1,0,1,0.0,0.0,0.0,0.0
SK,Vietnam,2020-04-09,296,3,648,14.829595000000001,4.930401,4.930401,9.879945
SK,Vietnam,2020-05-21,523,2,970,9.960723,4.976192,9.960723,9.960723
SK,South Korea,2020-05-24,6,0,7,0.0,0.0,0.0,0.0
SK,Vietnam,2020-04-29,335,1,753,4.976618,4.976618,4.976618,4.976618
SK,Thailand,2020-04-21,51,0,110,0.0,0.0,0.0,0.0
SK,Indonesia,2020-03-22,83,0,122,0.0,0.0,0.0,0.0
SK,Vietnam,2020-04-11,314,0,738,0.0,0.0,0.0,0.0
SK,Brazil,2020-03-17,537,0,540,0.0,0.0,0.0,0.0
SK,Brazil,2020-04-30,292,0,1316,0.0,0.0,0.0,0.0
SK,Chile,2020-04-16,2,0,2,0.0,0.0,0.0,0.0
SK,Philippines,2020-04-29,256,0,565,0.0,0.0,0.0,0.0
SK,Ukraine,2020-05-17,2,0,5,0.0,0.0,0.0,0.0
SK,Thailand,2020-04-10,94,0,180,0.0,0.0,0.0,0.0
SK,Vietnam,2020-04-04,353,1,682,4.926213,4.926213,4.926213,4.926213
SK,Brazil,2020-03-21,247,0,455,0.0,0.0,0.0,0.0
SK,India,2020-05-08,9,0,11,0.0,0.0,0.0,0.0
SK,Brazil,2020-04-01,654,0,1129,0.0,0.0,0.0,0.0
SK,Russia,2020-05-04,136,0,143,0.0,0.0,0.0,0.0
SK,Brazil,2020-05-20,276,0,944,0.0,0.0,0.0,0.0
SK,Philippines,2020-04-12,238,0,451,0.0,0.0,0.0,0.0
SK,United Arab Emirates,2020-04-18,1,0,1,0.0,0.0,0.0,0.0
SK,Indonesia,2020-04-03,128,0,198,0.0,0.0,0.0,0.0
SK,India,2020-03-18,32,0,66,0.0,0.0,0.0,0.0
SK,Vietnam,2020-04-07,437,1,770,4.946062,4.946062,4.946062,4.946062
SK,Brazil,2020-05-14,336,0,1280,0.0,0.0,0.0,0.0
SK,France,2020-05-20,169,1,432,6.005175,0.0,6.005175,6.005175
SK,Iraq,2020-05-18,2,0,5,0.0,0.0,0.0,0.0
SK,Turkey,2020-04-02,1,0,1,0.0,0.0,0.0,0.0
SK,Vietnam,2020-04-15,616,0,1098,0.0,0.0,0.0,0.0
SK,Brazil,2020-03-29,486,1,743,4.654079,0.0,4.654079,4.654079
SK,Indonesia,2020-04-18,306,1,650,1.29368,0.0,0.0,1.29368
SK,Turkey,2020-04-17,2,0,4,0.0,0.0,0.0,0.0
SK,Vietnam,2020-05-03,16,0,266,0.0,0.0,0.0,0.0
SK,Thailand,2020-03-20,50,0,71,0.0,0.0,0.0,0.0
SK,Thailand,2020-04-06,101,0,178,0.0,0.0,0.0,0.0
SK,Russia,2020-05-06,66,0,100,0.0,0.0,0.0,0.0
SK,Vietnam,2020-05-23,805,3,1442,67.481968,52.395235,67.481968,67.481968
SK,China,2020-05-09,139,0,168,0.0,0.0,0.0,0.0
SK,Ukraine,2020-05-13,15,0,20,0.0,0.0,0.0,0.0
SK,Brazil,2020-04-05,365,1,1038,4.515834,4.515834,4.515834,4.515834
SK,Indonesia,2020-03-18,38,0,92,0.0,0.0,0.0,0.0
SK,Philippines,2020-04-28,288,2,589,10.063015,5.017216,5.017216,5.017216
SK,Germany,2020-04-23,1,0,2,0.0,0.0,0.0,0.0
SK,Thailand,2020-04-04,148,0,205,0.0,0.0,0.0,0.0
SK,Brazil,2020-05-18,201,0,989,0.0,0.0,0.0,0.0
SK,India,2020-05-11,11,0,15,0.0,0.0,0.0,0.0
SK,Philippines,2020-04-14,205,1,402,5.036321,0.0,5.036321,5.036321
SK,Indonesia,2020-04-06,216,0,345,0.0,0.0,0.0,0.0
SK,Philippines,2020-05-21,6,0,69,0.0,0.0,0.0,0.0
SK,Brazil,2020-05-24,843,0,1819,0.0,0.0,0.0,0.0
SK,Indonesia,2020-04-09,449,4,754,19.066813,0.0,4.658593,4.658593
SK,Vietnam,2020-04-01,272,1,435,580.189666,0.0,34.368101,34.368101
SK,Brazil,2020-05-17,424,0,1409,0.0,0.0,0.0,0.0
SK,Brazil,2020-04-29,1035,0,2080,0.0,0.0,0.0,0.0
SK,Indonesia,2020-04-22,197,0,585,0.0,0.0,0.0,0.0
SK,Brazil,2020-04-03,700,0,1349,0.0,0.0,0.0,0.0
SK,Peru,2020-04-27,1,0,1,0.0,0.0,0.0,0.0
SK,Philippines,2020-03-20,148,0,290,0.0,0.0,0.0,0.0
SK,Brazil,2020-04-26,245,0,1133,0.0,0.0,0.0,0.0
SK,Vietnam,2020-04-06,401,1,738,4.926213,0.0,4.926213,4.926213
SK,Brazil,2020-05-05,27,0,530,0.0,0.0,0.0,0.0
