Package Name,App Version Code,App Version Name,Reviewer Language,Device,Review Submit Date and Time,Review Submit Millis Since Epoch,Review Last Update Date and Time,Review Last Update Millis Since Epoch,Star Rating,Review Title,Review Text,Developer Reply Date and Time,Developer Reply Millis Since Epoch,Developer Reply Text,Review Link
com.fansipan.stickman.fight.shadow.knights,,,pt,ocean_t,2020-05-11T12:45:47Z,1589201147911,2020-05-11T12:45:47Z,1589201147911,5,,the game art is too beautiful,2020-05-12T02:21:44Z,1589250104801,Thank you for your feedback and interest in our game. Please follow us on - facebook fanpage: https://www.facebook.com/shadow.knight.rpg/,https://play.google.com/apps/publish?account=7752608683054605616#ReviewDetailsPlace:p=com.fansipan.stickman.fight.shadow.knights&reviewid=gp:AOqpTOHQnrYyGBqFvDtrBKgYbnDUJn9npEdGQpN4mkx1P4lBU4-bqpYrjyGCKYpUOkn8-BFbUXKK3MYT2tZ4Fw
com.fansipan.stickman.fight.shadow.knights,30,1.0.98,pt,dream2lte,2020-05-11T13:21:05Z,1589203265163,2020-05-11T13:21:05Z,1589203265163,5,,,,,,
com.fansipan.stickman.fight.shadow.knights,30,1.0.98,pt,r7,2020-05-11T14:02:27Z,1589205747427,2020-05-11T14:02:27Z,1589205747427,5,,,,,,
com.fansipan.stickman.fight.shadow.knights,30,1.0.98,pt,woods_f,2020-05-11T14:12:11Z,1589206331477,2020-05-11T14:12:11Z,1589206331477,5,,Jogo por enquanto parece promissor,2020-05-12T02:21:56Z,1589250116655,"Hello! Thanks for supporting us! We will continuously improve our game to better and better quality! If you have any suggestion, please contact Shadow Knight fanpage https://www.facebook.com/shadow.knight.rpg/",https://play.google.com/apps/publish?account=7752608683054605616#ReviewDetailsPlace:p=com.fansipan.stickman.fight.shadow.knights&reviewid=gp:AOqpTOEkliJQT0OqBa04gVKIiZKMQL_zXb9ArFz6OJIEeRuxVqjBRteHDbghQ62zR84GTi-u4k6nAAClPpI3Zg
com.fansipan.stickman.fight.shadow.knights,30,1.0.98,pt,mmh4p,2020-05-11T14:18:59Z,1589206739404,2020-05-11T14:18:59Z,1589206739404,5,,Eu adorei jogabilidade perfeita grafigos bons melhor jogo,2020-05-12T02:22:18Z,1589250138657,Greeting! Thank you for your words. Hope you have a great time with Shadow Knight! Please follow us on - facebook fanpage: https://www.facebook.com/shadow.knight.rpg/,https://play.google.com/apps/publish?account=7752608683054605616#ReviewDetailsPlace:p=com.fansipan.stickman.fight.shadow.knights&reviewid=gp:AOqpTOH336bEZdAsUYkJ8hG6xQXB6FnPyB7Nqv5DpUQv_OpE5ORgITv56j_BXvJ2CBWkxzvqNm7UmNpfcf1aFw
com.fansipan.stickman.fight.shadow.knights,30,1.0.98,pt,ASUS_Z017D_1,2020-05-11T04:06:12Z,1589169972165,2020-05-11T14:27:23Z,1589207243338,5,,,,,,
com.fansipan.stickman.fight.shadow.knights,30,1.0.98,pt,a30,2020-05-11T14:31:10Z,1589207470594,2020-05-11T14:31:10Z,1589207470594,1,,,,,,
com.fansipan.stickman.fight.shadow.knights,30,1.0.98,pt,evert_nt,2020-05-11T15:18:42Z,1589210322011,2020-05-11T15:18:42Z,1589210322011,5,,Muito bom,2020-05-12T02:22:24Z,1589250144422,Greeting! Thank you for your feedback! Hope you enjoy your battles with our Shadow Knight! Please follow us on - facebook fanpage: https://www.facebook.com/shadow.knight.rpg/,https://play.google.com/apps/publish?account=7752608683054605616#ReviewDetailsPlace:p=com.fansipan.stickman.fight.shadow.knights&reviewid=gp:AOqpTOGP9p-jS67OvTSWnIMzo3ind-2yaqQQlr-w4O-oJJQ0L5quCbu06RhTjEDN-LcHh9-W2w5U-ZxwAN3H4g
com.fansipan.stickman.fight.shadow.knights,30,1.0.98,pt,starqltechn,2020-05-11T16:07:13Z,1589213233809,2020-05-11T16:07:13Z,1589213233809,5,,Jogo ta muito lindo,2020-05-12T02:28:58Z,1589250538341,Thank you very much for your 5-star review!!! (◉ω◉),https://play.google.com/apps/publish?account=7752608683054605616#ReviewDetailsPlace:p=com.fansipan.stickman.fight.shadow.knights&reviewid=gp:AOqpTOEcNUC_fycXSh383NaQhPh64YwxBwAbjMEUiSZFK2CAhJpizK47_PV36LT4xU5qQNlv1A3g2ASZqPa7-A
com.fansipan.stickman.fight.shadow.knights,30,1.0.98,pt,potter_nt,2020-05-11T16:18:23Z,1589213903784,2020-05-11T16:18:23Z,1589213903784,5,,,,,,
